ID,Rating,Category,Aspect,Part
,3,SystemX,Remuneration,CPI
,7,SystemX,Remuneration,CPI
,2,SystemX,Remuneration,CPI
,4,SystemX,Remuneration,CPI
,6,SystemX,Remuneration,CPI
,6,SystemX,Remuneration,CPI
,5,SystemX,Remuneration,CPI
,6,SystemX,Remuneration,CPI
,6,SystemX,Remuneration,CPI
,3,SystemX,Remuneration,CPI
,4,SystemX,PayPreparedness,CPI
,7,SystemX,PayPreparedness,CPI
,3,SystemX,PayPreparedness,CPI
,3,SystemX,PayPreparedness,CPI
,5,SystemX,PayPreparedness,CPI
,6,SystemX,PayPreparedness,CPI
,6,SystemX,PayPreparedness,CPI
,6,SystemX,PayPreparedness,CPI
,5,SystemX,PayPreparedness,CPI
,2,SystemX,PayPreparedness,CPI
,3,SystemX,Transformative,CPI
,7,SystemX,Transformative,CPI
,4,SystemX,Transformative,CPI
,4,SystemX,Transformative,CPI
,6,SystemX,Transformative,CPI
,5,SystemX,Transformative,CPI
,5,SystemX,Transformative,CPI
,6,SystemX,Transformative,CPI
,6,SystemX,Transformative,CPI
,3,SystemX,Transformative,CPI
,5,SystemX,Speed,CPI
,7,SystemX,Speed,CPI
,1,SystemX,Speed,CPI
,5,SystemX,Speed,CPI
,3,SystemX,Speed,CPI
,7,SystemX,Speed,CPI
,5,SystemX,Speed,CPI
,7,SystemX,Speed,CPI
,6,SystemX,Speed,CPI
,3,SystemX,Speed,CPI
,7,SystemX,Convenience,CPI
,7,SystemX,Convenience,CPI
,6,SystemX,Convenience,CPI
,3,SystemX,Convenience,CPI
,3,SystemX,Convenience,CPI
,7,SystemX,Convenience,CPI
,5,SystemX,Convenience,CPI
,7,SystemX,Convenience,CPI
,5,SystemX,Convenience,CPI
,4,SystemX,Convenience,CPI
,5,SystemX,Ethics,CPI
,7,SystemX,Ethics,CPI
,5,SystemX,Ethics,CPI
,5,SystemX,Ethics,CPI
,6,SystemX,Ethics,CPI
,7,SystemX,Ethics,CPI
,5,SystemX,Ethics,CPI
,6,SystemX,Ethics,CPI
,7,SystemX,Ethics,CPI
,4,SystemX,Ethics,CPI
,4,SystemX,Legal,CPI
,7,SystemX,Legal,CPI
,6,SystemX,Legal,CPI
,2,SystemX,Legal,CPI
,5,SystemX,Legal,CPI
,7,SystemX,Legal,CPI
,6,SystemX,Legal,CPI
,7,SystemX,Legal,CPI
,7,SystemX,Legal,CPI
,4,SystemX,Legal,CPI
,2,SystemX,TechSupport,CPI
,1,SystemX,TechSupport,CPI
,6,SystemX,TechSupport,CPI
,2,SystemX,TechSupport,CPI
,3,SystemX,TechSupport,CPI
,4,SystemX,TechSupport,CPI
,1,SystemX,TechSupport,CPI
,3,SystemX,TechSupport,CPI
,1,SystemX,TechSupport,CPI
,5,SystemX,TechSupport,CPI
,4,SystemX,Rethink,CPI
,7,SystemX,Rethink,CPI
,7,SystemX,Rethink,CPI
,2,SystemX,Rethink,CPI
,4,SystemX,Rethink,CPI
,4,SystemX,Rethink,CPI
,6,SystemX,Rethink,CPI
,6,SystemX,Rethink,CPI
,6,SystemX,Rethink,CPI
,3,SystemX,Rethink,CPI
,3,SystemAT,Remuneration,CPI
,1,SystemAT,Remuneration,CPI
,2,SystemAT,Remuneration,CPI
,3,SystemAT,Remuneration,CPI
,6,SystemAT,Remuneration,CPI
,2,SystemAT,Remuneration,CPI
,5,SystemAT,Remuneration,CPI
,2,SystemAT,Remuneration,CPI
,6,SystemAT,Remuneration,CPI
,2,SystemAT,Remuneration,CPI
,5,SystemAT,PayPreparedness,CPI
,4,SystemAT,PayPreparedness,CPI
,5,SystemAT,PayPreparedness,CPI
,2,SystemAT,PayPreparedness,CPI
,5,SystemAT,PayPreparedness,CPI
,1,SystemAT,PayPreparedness,CPI
,4,SystemAT,PayPreparedness,CPI
,6,SystemAT,PayPreparedness,CPI
,4,SystemAT,PayPreparedness,CPI
,1,SystemAT,PayPreparedness,CPI
,3,SystemAT,Transformative,CPI
,5,SystemAT,Transformative,CPI
,2,SystemAT,Transformative,CPI
,2,SystemAT,Transformative,CPI
,6,SystemAT,Transformative,CPI
,1,SystemAT,Transformative,CPI
,5,SystemAT,Transformative,CPI
,6,SystemAT,Transformative,CPI
,5,SystemAT,Transformative,CPI
,1,SystemAT,Transformative,CPI
,3,SystemAT,Speed,CPI
,4,SystemAT,Speed,CPI
,4,SystemAT,Speed,CPI
,2,SystemAT,Speed,CPI
,6,SystemAT,Speed,CPI
,6,SystemAT,Speed,CPI
,6,SystemAT,Speed,CPI
,7,SystemAT,Speed,CPI
,5,SystemAT,Speed,CPI
,3,SystemAT,Speed,CPI
,4,SystemAT,Convenience,CPI
,5,SystemAT,Convenience,CPI
,4,SystemAT,Convenience,CPI
,3,SystemAT,Convenience,CPI
,6,SystemAT,Convenience,CPI
,7,SystemAT,Convenience,CPI
,5,SystemAT,Convenience,CPI
,7,SystemAT,Convenience,CPI
,6,SystemAT,Convenience,CPI
,4,SystemAT,Convenience,CPI
,2,SystemAT,Ethics,CPI
,3,SystemAT,Ethics,CPI
,5,SystemAT,Ethics,CPI
,3,SystemAT,Ethics,CPI
,7,SystemAT,Ethics,CPI
,1,SystemAT,Ethics,CPI
,5,SystemAT,Ethics,CPI
,3,SystemAT,Ethics,CPI
,6,SystemAT,Ethics,CPI
,3,SystemAT,Ethics,CPI
,2,SystemAT,Legal,CPI
,4,SystemAT,Legal,CPI
,4,SystemAT,Legal,CPI
,4,SystemAT,Legal,CPI
,7,SystemAT,Legal,CPI
,1,SystemAT,Legal,CPI
,5,SystemAT,Legal,CPI
,6,SystemAT,Legal,CPI
,7,SystemAT,Legal,CPI
,4,SystemAT,Legal,CPI
,2,SystemAT,TechSupport,CPI
,1,SystemAT,TechSupport,CPI
,2,SystemAT,TechSupport,CPI
,1,SystemAT,TechSupport,CPI
,1,SystemAT,TechSupport,CPI
,1,SystemAT,TechSupport,CPI
,1,SystemAT,TechSupport,CPI
,2,SystemAT,TechSupport,CPI
,1,SystemAT,TechSupport,CPI
,1,SystemAT,TechSupport,CPI
,5,SystemAT,Rethink,CPI
,6,SystemAT,Rethink,CPI
,6,SystemAT,Rethink,CPI
,2,SystemAT,Rethink,CPI
,7,SystemAT,Rethink,CPI
,1,SystemAT,Rethink,CPI
,6,SystemAT,Rethink,CPI
,6,SystemAT,Rethink,CPI
,4,SystemAT,Rethink,CPI
,3,SystemAT,Rethink,CPI